id,image_url,title,subtitle,cta_text,cta_url,start_date,end_date,status
1,https://ik.imagekit.io/gosembako/BAHAN%20POKOK/89e4f2107469771.5fa81a797ee6a.webp,Paket Hemat Ceria,Diskon Hingga 50% Produk Pilihan,Belanja Sekarang,https://gosembako-production.up.railway.app/#produk-paket-sembako-ceria,2026-01-20,2026-01-31,active
2,https://ik.imagekit.io/gosembako/BAHAN%20POKOK/Tepung_Segitiga_Biru.webp?updatedAt=1768398848756,Promo Banner 2,,,,,,active
3,https://ik.imagekit.io/gosembako/BAHAN%20POKOK/tepung_terigu_curah.webp?updatedAt=1768400360975,Promo Banner 3,,,,,,active
4,https://ik.imagekit.io/gosembako/BAHAN%20POKOK/Premium+Egg+Product+Advertisement.webp?updatedAt=1768398794256,Promo Banner 4,,,,,,active
5,https://ik.imagekit.io/gosembako/BAHAN%20POKOK/Versi_Pedas_Berenergi.webp?updatedAt=1768398794305,Promo Banner 5,,,,,,active
6,https://ik.imagekit.io/gosembako/BAHAN%20POKOK/Versi_Pedas_Berenergi.webp?updatedAt=1768398794305,Promo Awal Tahun 2026,,,,,,active
